date,Account,Closed PnL
2024-10-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,111230.498007
2024-10-27,0x513b8629fe877bb581bf244e326a047b249c4ff1,0.0
2024-10-27,0x6d6a4b953f202f8df5bed40692e7fd865318264a,101539.274031
2024-10-27,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,327545.999992
2024-10-27,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,51737.579418
2024-10-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,37526.331877
2024-10-27,0x8170715b3b381dffb7062c0298972d4727a0a63b,0.0
2024-10-27,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,11.717676000000012
2024-10-27,0x8477e447846c758f5a675856001ea72298fd9cb5,39978.37791
2024-10-27,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,8695.357326
2024-10-27,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,49180.714882
2024-10-27,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,67900.247545
2024-10-27,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,20925.513222
2024-10-27,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,55.01524
2024-10-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1421755.845871
2024-10-27,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,11671.68
2024-10-27,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,684215.002602
2025-02-19,0x083384f897ee0f19899168e3b1bec365f52a9012,1927735.720035
2025-02-19,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,17098.727055
2025-02-19,0x271b280974205ca63b716753467d5a371de622ab,29970.928216
2025-02-19,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,10435.095669
2025-02-19,0x2c229d22b100a7beb69122eed721cee9b24011dd,116412.254606
2025-02-19,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-59349.677108
2025-02-19,0x39cef799f8b69da1995852eea189df24eb5cae3c,-20526.462526
2025-02-19,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,45883.628955
